Vertex         ,Longitude (dd) ,Latitude (dd)  ,Z (Meters)     
83,107.6851733,33.6537588,0
84,107.6856903,33.6538448,0
85,107.6861851,33.6538554,0
86,107.6866802,33.6537908,0
87,107.6869897,33.6537399,0
88,107.6872992,33.653689,0
89,107.6875246,33.653539,0
90,107.6877055,33.6532762,0
91,107.6879093,33.6529193,0
92,107.6880116,33.6526186,0
93,107.6881139,33.6523178,0
94,107.6882217,33.6520454,0
95,107.6883295,33.6517729,0
96,107.6883766,33.6517096,0
97,107.6883991,33.6516792,0
98,107.6884562,33.6516024,0
99,107.6885154,33.6515614,0
100,107.6885367,33.6515466,0
101,107.6885397,33.6515445,0
102,107.6886349,33.65151,0
103,107.6887007,33.6514861,0
104,107.6888293,33.6514394,0
105,107.6890732,33.6513509,0
106,107.6891189,33.6513343,0
107,107.689872,33.6514014,0
108,107.6900905,33.6514208,0
109,107.6901671,33.6514277,0
110,107.6908179,33.6514293,0
111,107.6909658,33.6514011,0
112,107.6910307,33.6513888,0
113,107.6912882,33.6513398,0
114,107.6913757,33.6512913,0
115,107.6914564,33.6512466,0
116,107.6915672,33.6511852,0
117,107.6917229,33.6510989,0
118,107.6920893,33.650902,0
119,107.6923387,33.6507679,0
120,107.6927498,33.6505728,0
121,107.6928457,33.6505273,0
122,107.6930307,33.6504464,0
123,107.6930965,33.6504177,0
124,107.6931907,33.6503765,0
125,107.6935337,33.6502266,0
126,107.6936028,33.650209,0
127,107.6936205,33.6502045,0
128,107.6936781,33.6501898,0
129,107.6938477,33.6501466,0
130,107.6939088,33.6501311,0
131,107.6940041,33.6501068,0
132,107.6945107,33.6499871,0
133,107.6948854,33.6499657,0
134,107.6950169,33.6499581,0
135,107.6959206,33.6500208,0
136,107.6966569,33.6501767,0
137,107.6966906,33.65019,0
138,107.696737,33.6502083,0
139,107.6968708,33.650261,0
140,107.6970931,33.6503104,0
141,107.6973127,33.6503591,0
142,107.6974815,33.6503966,0
143,107.6975563,33.6504132,0
144,107.6979304,33.6504217,0
145,107.6981557,33.6504267,0
146,107.6984896,33.6504343,0
147,107.6985727,33.650426,0
148,107.6986418,33.6504191,0
149,107.6989495,33.6503885,0
150,107.6989509,33.6503884,0
151,107.6992802,33.6502993,0
152,107.6996867,33.6501894,0
153,107.700054,33.6500901,0
154,107.7001507,33.6500427,0
155,107.7006029,33.649821,0
156,107.7009426,33.6496545,0
157,107.7011806,33.6495379,0
158,107.7012687,33.6494929,0
159,107.7018227,33.6492103,0
160,107.7020008,33.6491569,0
161,107.7020643,33.6491378,0
162,107.7023518,33.6490517,0
163,107.702556,33.6489993,0
164,107.7032973,33.6488094,0
165,107.7034921,33.6487766,0
166,107.7039447,33.6487004,0
167,107.7041131,33.648672,0
168,107.7043043,33.6486398,0
169,107.7053902,33.648457,0
170,107.7061821,33.6482804,0
171,107.7063919,33.6482336,0
172,107.7065079,33.6481941,0
173,107.7067001,33.6481285,0
174,107.7067099,33.6481252,0
175,107.7072138,33.6479534,0
176,107.7074231,33.6478956,0
177,107.7074839,33.6478788,0
178,107.7079113,33.6478798,0
179,107.7080595,33.6479194,0
180,107.7083382,33.6479937,0
181,107.7086781,33.6480753,0
182,107.7087533,33.6480934,0
183,107.7093271,33.6482312,0
184,107.7095696,33.6482957,0
185,107.7097119,33.6483336,0
186,107.7098286,33.6483646,0
187,107.7101473,33.6484494,0
188,107.7110745,33.6486389,0
189,107.7112363,33.648672,0
190,107.711569,33.64874,0
191,107.7117768,33.6487824,0
192,107.7122221,33.6488072,0
193,107.7123053,33.6488119,0
194,107.7129013,33.6488132,0
195,107.7129373,33.6488094,0
196,107.713103,33.6487915,0
197,107.7131929,33.6487818,0
198,107.7133288,33.6487672,0
199,107.713638,33.6487086,0
200,107.7137276,33.6486916,0
